Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,0.680000,0.690000,0.640000,0.670000,0.670000,435700
2019-12-03,0.660000,0.670000,0.620000,0.660000,0.660000,445000
2019-12-04,0.650000,0.680000,0.630000,0.650000,0.650000,433200
2019-12-05,0.650000,0.670000,0.620000,0.650000,0.650000,417500
2019-12-06,0.660000,0.660000,0.600000,0.640000,0.640000,247100
2019-12-09,0.640000,0.670000,0.600000,0.670000,0.670000,362000
2019-12-10,0.660000,0.700000,0.630000,0.680000,0.680000,381900
2019-12-11,0.700000,0.730000,0.670000,0.720000,0.720000,255200
2019-12-12,0.720000,0.760000,0.680000,0.750000,0.750000,724800
2019-12-13,0.720000,0.760000,0.700000,0.730000,0.730000,593200
2019-12-16,0.730000,0.750000,0.700000,0.740000,0.740000,471900
2019-12-17,0.740000,0.740000,0.710000,0.710000,0.710000,239200
2019-12-18,0.710000,0.740000,0.700000,0.720000,0.720000,535900
2019-12-19,0.720000,0.760000,0.690000,0.750000,0.750000,329900
2019-12-20,0.850000,1.030000,0.750000,0.780000,0.780000,2850200
2019-12-23,0.790000,0.850000,0.770000,0.850000,0.850000,430700
2019-12-24,0.850000,0.870000,0.790000,0.820000,0.820000,310400
2019-12-26,0.820000,0.890000,0.800000,0.890000,0.890000,339200
2019-12-27,0.890000,0.990000,0.830000,0.980000,0.980000,813900
2019-12-30,0.980000,1.010000,0.910000,0.990000,0.990000,376300
2019-12-31,0.940000,1.010000,0.940000,0.980000,0.980000,408400
2020-01-02,0.970000,1.020000,0.960000,1.000000,1.000000,362600
2020-01-03,0.990000,1.010000,0.940000,0.990000,0.990000,736600
2020-01-06,0.930000,0.960000,0.810000,0.960000,0.960000,737400
2020-01-07,0.880000,0.950000,0.880000,0.890000,0.890000,253900
2020-01-08,0.880000,0.920000,0.750000,0.770000,0.770000,855600
2020-01-09,0.800000,0.820000,0.690000,0.780000,0.780000,653000
2020-01-10,0.770000,0.800000,0.700000,0.780000,0.780000,618300
2020-01-13,0.780000,0.850000,0.750000,0.850000,0.850000,368400
2020-01-14,0.830000,0.880000,0.790000,0.800000,0.800000,575600
2020-01-15,0.800000,0.840000,0.800000,0.800000,0.800000,151300
2020-01-16,0.800000,0.860000,0.800000,0.820000,0.820000,101900
2020-01-17,0.830000,0.890000,0.830000,0.860000,0.860000,267200
2020-01-21,0.860000,0.890000,0.810000,0.860000,0.860000,383000
2020-01-22,0.860000,0.880000,0.840000,0.860000,0.860000,144400
2020-01-23,0.850000,0.870000,0.810000,0.830000,0.830000,185900
2020-01-24,0.850000,0.870000,0.820000,0.840000,0.840000,211200
2020-01-27,0.810000,0.920000,0.800000,0.850000,0.850000,341900
2020-01-28,0.850000,0.890000,0.820000,0.860000,0.860000,204300
2020-01-29,0.850000,0.910000,0.850000,0.880000,0.880000,162400
2020-01-30,0.870000,0.920000,0.810000,0.840000,0.840000,238900
2020-01-31,0.810000,0.860000,0.770000,0.820000,0.820000,344800
2020-02-03,0.780000,0.880000,0.770000,0.800000,0.800000,348900
2020-02-04,0.830000,0.850000,0.770000,0.800000,0.800000,481900
2020-02-05,0.800000,0.830000,0.740000,0.760000,0.760000,151200
2020-02-06,0.770000,0.780000,0.730000,0.750000,0.750000,152300
2020-02-07,0.760000,0.770000,0.730000,0.760000,0.760000,88000
2020-02-10,0.730000,0.820000,0.730000,0.820000,0.820000,191000
2020-02-11,0.840000,0.850000,0.780000,0.800000,0.800000,103900
2020-02-12,0.720000,0.890000,0.720000,0.800000,0.800000,460900
2020-02-13,0.810000,0.870000,0.750000,0.790000,0.790000,460100
2020-02-14,0.790000,0.840000,0.790000,0.810000,0.810000,183100
2020-02-18,0.780000,0.830000,0.780000,0.790000,0.790000,142100
2020-02-19,0.790000,0.840000,0.790000,0.820000,0.820000,115300
2020-02-20,0.800000,0.860000,0.800000,0.860000,0.860000,182300
2020-02-21,0.860000,0.890000,0.850000,0.880000,0.880000,97200
2020-02-24,0.840000,0.900000,0.820000,0.860000,0.860000,236400
2020-02-25,0.840000,0.880000,0.800000,0.820000,0.820000,485800
2020-02-26,0.830000,0.850000,0.790000,0.810000,0.810000,334600
2020-02-27,0.790000,0.850000,0.780000,0.830000,0.830000,232500
2020-02-28,0.810000,0.830000,0.790000,0.820000,0.820000,142600
2020-03-02,0.790000,0.930000,0.790000,0.850000,0.850000,342200
2020-03-03,0.850000,0.900000,0.830000,0.870000,0.870000,369400
2020-03-04,0.870000,0.900000,0.830000,0.900000,0.900000,246200
2020-03-05,0.870000,0.870000,0.750000,0.850000,0.850000,565000
2020-03-06,0.830000,0.900000,0.810000,0.840000,0.840000,208400
2020-03-09,0.830000,0.840000,0.770000,0.820000,0.820000,466500
2020-03-10,0.830000,0.830000,0.780000,0.830000,0.830000,496600
2020-03-11,0.820000,0.820000,0.790000,0.810000,0.810000,126700
2020-03-12,0.760000,0.800000,0.730000,0.740000,0.740000,361700
2020-03-13,0.750000,0.790000,0.730000,0.750000,0.750000,174600
2020-03-16,0.730000,0.770000,0.710000,0.720000,0.720000,304700
2020-03-17,0.720000,0.720000,0.640000,0.670000,0.670000,356000
2020-03-18,0.630000,0.690000,0.600000,0.640000,0.640000,172400
2020-03-19,0.620000,0.650000,0.600000,0.650000,0.650000,126800
2020-03-20,0.620000,0.650000,0.580000,0.580000,0.580000,469400
2020-03-23,0.560000,0.610000,0.520000,0.590000,0.590000,254900
2020-03-24,0.580000,0.640000,0.580000,0.620000,0.620000,227600
2020-03-25,0.620000,0.650000,0.600000,0.620000,0.620000,130600
2020-03-26,0.610000,0.660000,0.610000,0.630000,0.630000,262400
2020-03-27,0.610000,0.650000,0.610000,0.650000,0.650000,63200
2020-03-30,0.630000,0.660000,0.630000,0.640000,0.640000,94400
2020-03-31,0.650000,0.690000,0.640000,0.690000,0.690000,115400
2020-04-01,0.660000,0.660000,0.610000,0.650000,0.650000,212300
2020-04-02,0.620000,0.730000,0.620000,0.640000,0.640000,90500
2020-04-03,0.670000,0.700000,0.630000,0.690000,0.690000,93100
2020-04-06,0.680000,0.720000,0.660000,0.700000,0.700000,98100
2020-04-07,0.710000,0.780000,0.700000,0.770000,0.770000,92300
2020-04-08,0.780000,0.790000,0.750000,0.790000,0.790000,101600
2020-04-09,0.790000,0.800000,0.750000,0.800000,0.800000,110300
2020-04-13,0.790000,0.810000,0.760000,0.810000,0.810000,239800
2020-04-14,0.800000,0.840000,0.780000,0.830000,0.830000,94700
2020-04-15,0.800000,0.840000,0.770000,0.830000,0.830000,114300
2020-04-16,0.840000,0.870000,0.820000,0.850000,0.850000,91900
2020-04-17,0.860000,0.900000,0.820000,0.830000,0.830000,159100
2020-04-20,0.820000,0.860000,0.810000,0.840000,0.840000,91900
2020-04-21,0.830000,0.850000,0.810000,0.840000,0.840000,67000
2020-04-22,0.810000,0.840000,0.810000,0.840000,0.840000,37300
2020-04-23,0.820000,0.870000,0.800000,0.870000,0.870000,143100
2020-04-24,0.870000,0.900000,0.820000,0.870000,0.870000,51600
2020-04-27,0.870000,0.900000,0.830000,0.890000,0.890000,119500
2020-04-28,0.870000,0.900000,0.850000,0.900000,0.900000,83500
2020-04-29,0.830000,0.920000,0.830000,0.920000,0.920000,80100
2020-04-30,0.920000,0.920000,0.850000,0.880000,0.880000,62400
2020-05-01,0.870000,0.870000,0.810000,0.830000,0.830000,65800
2020-05-04,0.830000,0.900000,0.800000,0.840000,0.840000,111500
2020-05-05,0.840000,0.860000,0.780000,0.800000,0.800000,233800
2020-05-06,0.780000,0.820000,0.780000,0.820000,0.820000,56700
2020-05-07,0.820000,0.830000,0.780000,0.830000,0.830000,72800
2020-05-08,0.800000,0.850000,0.800000,0.840000,0.840000,58500
2020-05-11,0.820000,0.850000,0.790000,0.830000,0.830000,202100
2020-05-12,0.820000,0.900000,0.820000,0.900000,0.900000,125800
2020-05-13,0.880000,0.890000,0.820000,0.830000,0.830000,78200
2020-05-14,0.820000,0.830000,0.800000,0.830000,0.830000,55100
2020-05-15,0.810000,0.840000,0.810000,0.840000,0.840000,14700
2020-05-18,0.810000,0.890000,0.810000,0.880000,0.880000,120900
2020-05-19,0.890000,0.890000,0.820000,0.850000,0.850000,55300
2020-05-20,0.870000,0.880000,0.830000,0.870000,0.870000,85300
2020-05-21,0.850000,0.870000,0.810000,0.850000,0.850000,143500
2020-05-22,0.820000,0.870000,0.820000,0.870000,0.870000,49100
2020-05-26,0.850000,0.880000,0.850000,0.880000,0.880000,56500
2020-05-27,0.860000,0.880000,0.850000,0.880000,0.880000,101500
2020-05-28,0.870000,0.930000,0.860000,0.900000,0.900000,211500
2020-05-29,0.900000,0.920000,0.860000,0.890000,0.890000,192400
2020-06-01,0.860000,0.920000,0.860000,0.880000,0.880000,142100
2020-06-02,0.880000,0.910000,0.860000,0.910000,0.910000,74000
2020-06-03,0.910000,0.910000,0.860000,0.870000,0.870000,266400
2020-06-04,0.860000,0.870000,0.820000,0.870000,0.870000,162900
2020-06-05,0.870000,0.890000,0.850000,0.880000,0.880000,195800
2020-06-08,0.880000,0.900000,0.860000,0.900000,0.900000,101800
2020-06-09,0.820000,0.900000,0.820000,0.900000,0.900000,356100
2020-06-10,0.900000,0.910000,0.860000,0.910000,0.910000,85100
2020-06-11,0.900000,0.910000,0.850000,0.910000,0.910000,134200
2020-06-12,0.880000,1.220000,0.880000,1.070000,1.070000,937600
2020-06-15,1.000000,1.020000,0.940000,0.970000,0.970000,543300
2020-06-16,0.950000,1.030000,0.950000,1.010000,1.010000,162700
2020-06-17,1.010000,1.040000,0.960000,1.000000,1.000000,156900
2020-06-18,1.050000,1.050000,0.950000,1.000000,1.000000,174900
2020-06-19,1.000000,1.020000,0.960000,1.000000,1.000000,248200
2020-06-22,0.990000,1.020000,0.940000,0.980000,0.980000,244300
2020-06-23,0.970000,1.010000,0.970000,1.010000,1.010000,97400
2020-06-24,1.000000,1.040000,0.990000,1.030000,1.030000,138600
2020-06-25,0.970000,1.050000,0.970000,1.050000,1.050000,98400
2020-06-26,1.050000,1.050000,0.940000,0.980000,0.980000,194800
2020-06-29,0.930000,1.020000,0.920000,0.990000,0.990000,163500
2020-06-30,0.990000,1.040000,0.950000,1.010000,1.010000,71800
2020-07-01,1.000000,1.000000,0.980000,1.000000,1.000000,49800
2020-07-02,0.990000,1.010000,0.950000,0.980000,0.980000,45400
2020-07-06,0.980000,1.010000,0.970000,1.000000,1.000000,58500
2020-07-07,1.020000,1.030000,0.970000,1.010000,1.010000,146100
2020-07-08,1.030000,1.040000,0.990000,1.040000,1.040000,70000
2020-07-09,1.030000,1.040000,1.000000,1.030000,1.030000,57500
2020-07-10,1.020000,1.040000,1.000000,1.020000,1.020000,72800
2020-07-13,1.010000,1.120000,1.000000,1.080000,1.080000,221500
2020-07-14,1.050000,1.170000,1.050000,1.090000,1.090000,373700
2020-07-15,1.130000,1.150000,1.070000,1.110000,1.110000,163300
2020-07-16,1.070000,1.120000,1.050000,1.090000,1.090000,98800
2020-07-17,1.090000,1.110000,0.900000,0.930000,0.930000,494900
2020-07-20,0.940000,0.990000,0.940000,0.980000,0.980000,177400
2020-07-21,0.980000,1.010000,0.960000,1.010000,1.010000,54000
2020-07-22,1.020000,1.030000,0.960000,1.030000,1.030000,134300
2020-07-23,1.020000,1.020000,0.960000,0.990000,0.990000,74600
2020-07-24,0.990000,1.030000,0.970000,1.010000,1.010000,50600
2020-07-27,0.990000,1.040000,0.990000,1.010000,1.010000,54700
2020-07-28,1.010000,1.040000,0.970000,1.020000,1.020000,176800
2020-07-29,0.970000,1.070000,0.970000,1.060000,1.060000,95300
2020-07-30,1.040000,1.100000,1.040000,1.090000,1.090000,88500
2020-07-31,1.090000,1.100000,1.070000,1.070000,1.070000,83600
2020-08-03,1.040000,1.090000,1.030000,1.080000,1.080000,211300
2020-08-04,1.060000,1.150000,1.050000,1.130000,1.130000,336700
2020-08-05,1.120000,1.200000,1.120000,1.160000,1.160000,359300
2020-08-06,1.110000,1.230000,1.010000,1.150000,1.150000,664600
2020-08-07,1.130000,1.280000,1.120000,1.200000,1.200000,285800
2020-08-10,1.220000,1.250000,1.170000,1.240000,1.240000,386900
2020-08-11,1.250000,1.250000,1.230000,1.240000,1.240000,224200
2020-08-12,1.220000,1.300000,1.210000,1.270000,1.270000,440400
2020-08-13,1.280000,1.290000,1.240000,1.270000,1.270000,162100
2020-08-14,1.270000,1.470000,1.230000,1.380000,1.380000,926900
2020-08-17,1.370000,1.540000,1.350000,1.450000,1.450000,519600
2020-08-18,1.470000,1.480000,1.400000,1.440000,1.440000,310200
2020-08-19,1.440000,1.440000,1.250000,1.250000,1.250000,526900
2020-08-20,1.300000,1.350000,1.230000,1.330000,1.330000,131400
2020-08-21,1.280000,1.300000,0.970000,0.990000,0.990000,1326800
2020-08-24,1.000000,1.100000,1.000000,1.060000,1.060000,879900
2020-08-25,1.030000,1.180000,1.010000,1.180000,1.180000,332500
2020-08-26,1.170000,1.200000,1.110000,1.140000,1.140000,423300
2020-08-27,1.160000,1.180000,1.120000,1.140000,1.140000,190700
2020-08-28,1.140000,1.150000,1.080000,1.130000,1.130000,186800
2020-08-31,1.120000,1.160000,1.100000,1.150000,1.150000,238800
2020-09-01,1.110000,1.200000,1.110000,1.190000,1.190000,119400
2020-09-02,1.190000,1.200000,1.130000,1.190000,1.190000,94700
2020-09-03,1.190000,1.190000,1.070000,1.120000,1.120000,162000
2020-09-04,1.120000,1.150000,1.100000,1.150000,1.150000,92400
2020-09-08,1.150000,1.220000,1.150000,1.220000,1.220000,137400
2020-09-09,1.220000,1.240000,1.190000,1.230000,1.230000,66100
2020-09-10,1.220000,1.230000,1.120000,1.170000,1.170000,142100
2020-09-11,1.160000,1.230000,1.150000,1.190000,1.190000,68000
2020-09-14,1.190000,1.230000,1.160000,1.230000,1.230000,152700
2020-09-15,1.230000,1.240000,1.170000,1.240000,1.240000,102800
2020-09-16,1.230000,1.230000,1.170000,1.210000,1.210000,52400
2020-09-17,1.180000,1.240000,1.180000,1.230000,1.230000,79200
2020-09-18,1.220000,1.240000,1.140000,1.140000,1.140000,143400
2020-09-21,1.170000,1.190000,1.100000,1.150000,1.150000,64300
2020-09-22,1.150000,1.170000,1.090000,1.130000,1.130000,75300
2020-09-23,1.120000,1.150000,1.110000,1.130000,1.130000,55300
2020-09-24,1.140000,1.150000,1.110000,1.140000,1.140000,55000
2020-09-25,1.140000,1.160000,1.120000,1.140000,1.140000,19600
2020-09-28,1.120000,1.170000,1.120000,1.160000,1.160000,85900
2020-09-29,1.150000,1.170000,1.100000,1.140000,1.140000,29700
2020-09-30,1.150000,1.180000,1.150000,1.150000,1.150000,29900
2020-10-01,1.150000,1.160000,1.100000,1.130000,1.130000,39400
2020-10-02,1.140000,1.140000,1.060000,1.120000,1.120000,108800
2020-10-05,1.110000,1.140000,1.100000,1.110000,1.110000,41800
2020-10-06,1.120000,1.160000,1.110000,1.130000,1.130000,89400
2020-10-07,1.140000,1.190000,1.100000,1.170000,1.170000,157400
2020-10-08,1.170000,1.200000,1.140000,1.200000,1.200000,17700
2020-10-09,1.210000,1.210000,1.150000,1.180000,1.180000,56100
2020-10-12,1.200000,1.220000,1.160000,1.190000,1.190000,74700
2020-10-13,1.200000,1.210000,1.130000,1.190000,1.190000,56100
2020-10-14,1.210000,1.210000,1.130000,1.200000,1.200000,56700
2020-10-15,1.140000,1.190000,1.140000,1.150000,1.150000,41400
2020-10-16,1.150000,1.180000,1.130000,1.150000,1.150000,77600
2020-10-19,1.150000,1.170000,1.130000,1.170000,1.170000,109000
2020-10-20,1.140000,1.200000,1.130000,1.140000,1.140000,273300
2020-10-21,1.130000,1.150000,1.080000,1.100000,1.100000,269900
2020-10-22,1.110000,1.130000,1.090000,1.090000,1.090000,75600
2020-10-23,1.100000,1.130000,1.090000,1.120000,1.120000,69700
2020-10-26,1.130000,1.130000,1.080000,1.090000,1.090000,129600
2020-10-27,1.090000,1.100000,1.080000,1.080000,1.080000,124700
2020-10-28,1.080000,1.090000,1.030000,1.040000,1.040000,118300
2020-10-29,1.030000,1.060000,1.010000,1.030000,1.030000,87700
2020-10-30,1.050000,1.060000,1.020000,1.040000,1.040000,57900
2020-11-02,1.070000,1.070000,1.010000,1.040000,1.040000,84800
2020-11-03,1.040000,1.050000,1.010000,1.030000,1.030000,170300
2020-11-04,1.040000,1.050000,1.030000,1.050000,1.050000,30700
2020-11-05,1.050000,1.130000,1.050000,1.080000,1.080000,118500
2020-11-06,1.050000,1.080000,1.050000,1.070000,1.070000,243200
2020-11-09,1.090000,1.220000,1.090000,1.220000,1.220000,764800
2020-11-10,1.220000,1.240000,1.110000,1.200000,1.200000,673500
2020-11-11,1.220000,1.230000,1.200000,1.220000,1.220000,280500
2020-11-12,1.220000,1.220000,1.150000,1.210000,1.210000,148100
2020-11-13,1.230000,1.230000,1.160000,1.210000,1.210000,257800
2020-11-16,1.230000,1.230000,1.140000,1.180000,1.180000,340700
2020-11-17,1.170000,1.200000,1.160000,1.170000,1.170000,109300
2020-11-18,1.170000,1.190000,1.150000,1.170000,1.170000,160900
2020-11-19,1.160000,1.170000,1.150000,1.160000,1.160000,67700
2020-11-20,1.180000,1.180000,1.120000,1.160000,1.160000,136200
2020-11-23,1.160000,1.160000,1.010000,1.100000,1.100000,502300
2020-11-24,1.050000,1.120000,1.050000,1.100000,1.100000,147000
2020-11-25,1.110000,1.150000,1.110000,1.120000,1.120000,101900
2020-11-27,1.120000,1.150000,1.110000,1.140000,1.140000,81000
2020-11-30,1.140000,1.350000,1.130000,1.340000,1.340000,1583300
2020-12-01,1.400000,1.740000,1.300000,1.620000,1.620000,3095300
